city,State_ab,State_name,Low_Confidence_Limit,Data_Value,High_Confidence_Limit,PopulationCount
Abilene,TX,Texas,13.74102564,15.05384615,16.34615385,9004.692308
Akron,OH,Ohio,15.93382353,17.22794118,18.56470588,8784.176471
Alameda,CA,California,9.211111111,10.08333333,11.03333333,12302
Albany,GA,Georgia,14.45636364,15.96181818,17.50909091,9561.272727
Albuquerque,NM,New Mexico,12.92086331,14.15323741,15.42517986,11780.61151
Alexandria,VA,Virginia,9.555,10.5525,11.76,10497.45
Alhambra,CA,California,9.213636364,10.07727273,10.95909091,11330.31818
Allen,TX,Texas,9.684615385,10.7,11.79230769,19441.38462
Allentown,PA,Pennsylvania,16.38571429,17.65357143,18.96785714,12646.28571
Amarillo,TX,Texas,13.40350877,14.60175439,15.81578947,10036.57895
Anaheim,CA,California,11.78051948,12.92987013,14.0961039,13100.76623
Anchorage,AK,Alaska,10.54035088,11.52982456,12.5754386,15359.26316
Ann Arbor,MI,Michigan,10.82857143,12.31142857,13.84857143,9765.4
Antioch,CA,California,13.11363636,14.01363636,14.91363636,13959.81818
Apple Valley,CA,California,13.42142857,14.37857143,15.35714286,14812.35714
Appleton,WI,Wisconsin,10.88076923,12.12307692,13.44230769,8378.692308
Arlington,TX,Texas,12.66,13.81066667,14.99733333,14617.52
Arlington Heights,IL,Illinois,8.704166667,9.775,10.98333333,9386.583333
Arvada,CO,Colorado,9.925714286,11.12285714,12.36571429,9121.885714
Asheville,NC,North Carolina,11.31935484,12.64193548,14.02903226,8067.903226
Athens,GA,Georgia,13.78125,15.53125,17.365625,10823.625
Atlanta,GA,Georgia,11.67424242,13.09318182,14.65530303,9545.424242
Auburn,WA,Washington,13.4047619,14.59047619,15.79047619,10025.2381
Augusta,GA,Georgia,14.18367347,15.46122449,16.76734694,11990.44898
Aurora,CO,Colorado,11.73435115,12.87175573,14.08320611,11976.12214
Austin,TX,Texas,10.944,12.168,13.513,11855.49
Avondale,AZ,Arizona,13.09130435,14.15652174,15.25217391,9943.086957
Bakersfield,CA,California,13.71481481,14.90617284,16.12839506,12868.67901
Baldwin Park,CA,California,11.785,13.11,14.465,11308.5
Baltimore,MD,Maryland,14.70746269,16.28159204,17.94079602,9267.965174
Baton Rouge,LA,Louisiana,15.57121212,17.33787879,19.13939394,10430.42424
Baytown,TX,Texas,13.435,14.475,15.54,10769.1
Beaumont,TX,Texas,13.74722222,14.89444444,16.08333333,9858
Beaverton,OR,Oregon,11.24814815,12.49259259,13.86666667,9975.592593
Bellevue,WA,Washington,8.623333333,9.506666667,10.52,12235.7
Bellflower,CA,California,12.375,13.26,14.18,11492.4
Bellingham,WA,Washington,12.35789474,13.96842105,15.57894737,12771.31579
Bend,OR,Oregon,11.75714286,13.00714286,14.33571429,16422.64286
Berkeley,CA,California,9.514285714,10.54285714,11.68,9649.714286
Bethlehem,PA,Pennsylvania,13.685,15.045,16.44,11247.3
Billings,MT,Montana,11.22758621,12.47241379,13.76206897,10776.10345
Birmingham,AL,Alabama,14.92826087,16.43804348,18.04891304,6918.673913
Bloomington,IL,Illinois,11.48732394,12.92112676,14.38450704,10136.49296
Boca Raton,FL,Florida,9.810344828,10.8862069,12.0862069,8730.206897
Boise,ID,Idaho,10.54042553,11.81276596,13.16808511,13127.93617
Bolingbrook,IL,Illinois,10.9,11.83684211,12.82631579,11584.10526
Boston,MA,Massachusetts,12.912,14.38628571,16.052,10587.09714
Boulder,CO,Colorado,9.426666667,10.95666667,12.53,9738.5
Boynton Beach,FL,Florida,12.00769231,13.13076923,14.29615385,7871.192308
Bridgeport,CT,Connecticut,13.375,14.435,15.515,10817.175
Brockton,MA,Massachusetts,15.04782609,16.05217391,17.06956522,12236.08696
Broken Arrow,OK,Oklahoma,12.47692308,13.80512821,15.15384615,7602.205128
Brooklyn Park,MN,Minnesota,10.11333333,10.88666667,11.68666667,15156.2
Brownsville,TX,Texas,14.152,15.938,17.676,10500.94
Bryan,TX,Texas,13.87222222,15.13333333,16.45,12700.16667
Buena Park,CA,California,11.13,12.025,12.935,12079.5
Buffalo,NY,New York,15.40123457,16.81481481,18.26666667,9678.148148
Burbank,CA,California,10.3,11.252,12.24,12400.8
Burlington,VT,Vermont,12.4,14.53846154,16.77692308,9788.538462
Cambridge,MA,Massachusetts,9.623529412,10.68529412,11.99411765,9279
Camden,NJ,New Jersey,18.57619048,19.97619048,21.4047619,11049.14286
Canton,OH,Ohio,16.11785714,17.29642857,18.48928571,7820.392857
Cape Coral,FL,Florida,12.70322581,13.80967742,14.95483871,14931.74194
Carlsbad,CA,California,8.463636364,9.495454545,10.72727273,14362.81818
Carmel,IN,Indiana,8.941176471,10.03529412,11.31176471,13974.88235
Carrollton,TX,Texas,11.17142857,12.32,13.52,10208.14286
Carson,CA,California,10.5,11.4047619,12.38571429,13100
Cary,NC,North Carolina,8.573170732,9.604878049,10.83170732,9895.02439
Cedar Rapids,IA,Iowa,10.62368421,11.84473684,13.08947368,9972.894737
Centennial,CO,Colorado,8.632432432,9.764864865,11.02702703,8138.108108
Champaign,IL,Illinois,12.16818182,13.94545455,15.58181818,11050.86364
Chandler,AZ,Arizona,10.15081967,11.30491803,12.54918033,11611.72131
Charleston,WV,West Virginia,12.90285714,14.44571429,16.12285714,7348.571429
Charlotte,NC,North Carolina,11.862,13.1215,14.4785,10971.265
Chattanooga,TN,Tennessee,14.36346154,15.76346154,17.20769231,9672
Chesapeake,VA,Virginia,11.8744186,13.02325581,14.2372093,15502.95349
Cheyenne,WY,Wyoming,10.61111111,11.7,12.79444444,9911
Chicago,IL,Illinois,11.97562814,13.35615578,14.85766332,10159.25628
Chico,CA,California,13.224,15.036,16.856,10342.4
Chino,CA,California,11.32,12.37,13.42,11697.45
Chino Hills,CA,California,8.935714286,9.7,10.48571429,16028.35714
Chula Vista,CA,California,11.15714286,12.18367347,13.25306122,14933.63265
Cicero,IL,Illinois,13.73333333,15.18333333,16.67222222,13981.83333
Cincinnati,OH,Ohio,15.01196581,16.62393162,18.32393162,7612.769231
Citrus Heights,CA,California,12.844,13.956,15.108,9996.12
Clarksville,TN,Tennessee,14.51388889,15.86666667,17.25277778,11076.61111
Clearwater,FL,Florida,12.72368421,13.98947368,15.27105263,8501.447368
Cleveland,OH,Ohio,17.14350282,18.70734463,20.32316384,6725.672316
Clifton,NJ,New Jersey,11.58888889,12.56111111,13.54444444,14022.66667
Clovis,CA,California,11.404,12.372,13.38,11475.64
College Station,TX,Texas,12.56428571,14.96785714,17.45357143,10056.10714
Colorado Springs,CO,Colorado,11.61238095,12.83809524,14.12666667,11897.52381
Columbia,SC,South Carolina,13.47888889,15.35111111,17.27444444,7924.911111
Columbus,OH,Ohio,14.32299652,15.74285714,17.22508711,10211.33449
Compton,CA,California,14.67419355,16.06451613,17.41935484,9334.354839
Concord,CA,California,11.68909091,12.82909091,14.00545455,10970.45455
Coral Springs,FL,Florida,11.85,12.92142857,14.06785714,12974.57143
Corona,CA,California,12.23783784,13.35405405,14.47027027,12354.64865
Corpus Christi,TX,Texas,12.47894737,13.56052632,14.65263158,12047.81579
Costa Mesa,CA,California,11.22592593,12.44814815,13.71851852,12217.7037
Cranston,RI,Rhode Island,12.32105263,13.55263158,14.86315789,12692.68421
Dallas,TX,Texas,12.99248366,14.29869281,15.67091503,11742.66993
Daly City,CA,California,8.663636364,9.45,10.27272727,13789.5
Danbury,CT,Connecticut,10.95882353,12,13.04705882,14275.23529
Davenport,IA,Iowa,12.03333333,13.15454545,14.32424242,9061.212121
Davie,FL,Florida,11.56086957,12.64347826,13.75652174,11996.82609
Dayton,OH,Ohio,16.28474576,17.95762712,19.58644068,7193.440678
Dearborn,MI,Michigan,15.20769231,16.95,18.73846154,11325.34615
Decatur,IL,Illinois,13.68064516,14.91612903,16.17741935,7366.645161
Deerfield Beach,FL,Florida,13.01578947,14.13684211,15.28947368,11844.94737
Deltona,FL,Florida,14.23157895,15.2,16.16315789,13448.21053
Denton,TX,Texas,12.75862069,14.33793103,16.0137931,11728.48276
Denver,CO,Colorado,10.59172414,11.75448276,13.03310345,12417.06207
Des Moines,IA,Iowa,12.095,13.275,14.49333333,10171.41667
Detroit,MI,Michigan,17.33639456,18.99217687,20.71564626,7283.234694
Downey,CA,California,11.02173913,12.10869565,13.24782609,14577.6087
Duluth,MN,Minnesota,10.92162162,12.38108108,13.87027027,6993.891892
Durham,NC,North Carolina,12.025,13.29666667,14.65,11415.91667
Edinburg,TX,Texas,13.34,14.95333333,16.6,15420
Edmond,OK,Oklahoma,11.8125,13.15416667,14.6125,10175.625
El Cajon,CA,California,13.58333333,14.67666667,15.81333333,9947.8
El Monte,CA,California,12.565625,13.853125,15.140625,10637
El Paso,TX,Texas,12.30601504,13.69022556,15.11052632,14641.6391
Elgin,IL,Illinois,11.70740741,12.81111111,13.95555556,12018.85185
Elizabeth,NJ,New Jersey,15.32857143,16.47142857,17.59285714,13389.53571
Elk Grove,CA,California,10.7,11.59333333,12.51666667,15301.5
Erie,PA,Pennsylvania,17.103125,18.575,20.0375,9542.4375
Escondido,CA,California,12.24857143,13.41714286,14.58857143,12334.74286
Eugene,OR,Oregon,13.54444444,15.17555556,16.88,10412.15556
Evanston,IL,Illinois,9.1,10.135,11.305,11172.9
Evansville,IN,Indiana,16.25813953,17.8255814,19.41627907,8192.232558
Everett,WA,Washington,12.89285714,14.1,15.30357143,11036.92857
Fairfield,CA,California,12.35714286,13.25,14.15714286,11283.82143
Fall River,MA,Massachusetts,16.02592593,17.51481481,19.01481481,9873
Fargo,ND,North Dakota,10.01851852,11.47777778,12.99259259,11727.66667
Farmington Hills,MI,Michigan,9.533333333,10.51666667,11.6,9967.375
Fayetteville,AR,Arkansas,13.67681159,15.04492754,16.37971014,11918.37681
Federal Way,WA,Washington,12.99047619,13.95238095,14.94285714,12757.90476
Fishers,IN,Indiana,9.472727273,10.60909091,11.91818182,20943.81818
Flint,MI,Michigan,18.6804878,20.13902439,21.67560976,7494.219512
Folsom,CA,California,9.433333333,10.45555556,11.59444444,12031.61111
Fontana,CA,California,13.26216216,14.47837838,15.70810811,15897.48649
Fort Collins,CO,Colorado,10.61666667,12.2375,13.89583333,8998.208333
Fort Lauderdale,FL,Florida,12.72307692,13.95961538,15.24807692,9548.769231
Fort Smith,AR,Arkansas,15.73913043,17.00434783,18.30869565,11244.65217
Fort Wayne,IN,Indiana,14.87125,16.27125,17.7325,9512.8625
Fort Worth,TX,Texas,13.53703704,14.74320988,15.9691358,13725.34568
Fremont,CA,California,7.66,8.391111111,9.213333333,14272.6
Fresno,CA,California,14.12936508,15.31904762,16.52539683,11777.37302
Frisco,TX,Texas,8.834285714,9.96,11.25428571,10027.45714
Fullerton,CA,California,10.48,11.56285714,12.72,11585.22857
Gainesville,FL,Florida,14.14102564,15.96666667,17.87948718,9565.410256
Garden Grove,CA,California,11.44090909,12.45227273,13.48409091,11650.84091
Garland,TX,Texas,13.14,14.272,15.43,13611.44
Gary,IN,Indiana,16.9,18.4,19.97575758,7299.454545
Gastonia,NC,North Carolina,14.22258065,15.50322581,16.79032258,6940.935484
Gilbert,AZ,Arizona,10.22340426,11.42978723,12.70212766,13305.42553
Glendale,AZ,Arizona,12.25048544,13.40291262,14.59514563,12186.50485
Grand Prairie,TX,Texas,12.9925,14.0425,15.1075,13153.25
Grand Rapids,MI,Michigan,13.89444444,15.46666667,17.17407407,10446.66667
Greeley,CO,Colorado,12.34705882,13.77352941,15.21176471,8193.529412
Green Bay,WI,Wisconsin,12.334375,13.59375,14.890625,9755.34375
Greensboro,NC,North Carolina,12.3962963,13.68148148,15.02592593,9987.259259
Greenville,NC,North Carolina,13.432,15.368,17.264,10146.4
Gresham,OR,Oregon,15.2,16.45555556,17.75925926,11732.66667
Gulfport,MS,Mississippi,14.58333333,15.875,17.23333333,8474.125
Hammond,IN,Indiana,15.38571429,16.48095238,17.61904762,11547.14286
Hampton,VA,Virginia,12.75714286,13.91428571,15.01714286,11780.22857
Hartford,CT,Connecticut,15.49047619,16.84761905,18.22380952,8912.5
Hawthorne,CA,California,12.86521739,14.0173913,15.2,10991.69565
Hayward,CA,California,11.11052632,11.95,12.80789474,11382.68421
Hemet,CA,California,14.39166667,15.41666667,16.47916667,9830.791667
Henderson,NV,Nevada,11.26911765,12.36617647,13.5,11369.72059
Hesperia,CA,California,14.7,15.73888889,16.8,15028.22222
Hialeah,FL,Florida,13.38409091,14.86818182,16.37045455,15318.22727
High Point,NC,North Carolina,13.06285714,14.23714286,15.48285714,8945.542857
Hillsboro,OR,Oregon,11.91304348,13.16956522,14.47391304,11946.13043
Hollywood,FL,Florida,12.8,13.86216216,14.94324324,11413.62162
Honolulu,HI,Hawaii,9.553813559,10.31779661,11.08601695,12116.84322
Hoover,AL,Alabama,10.34,11.57,12.93,8161
Houston,TX,Texas,12.53032491,13.80631769,15.12743682,11367.52347
Huntington Beach,CA,California,9.866666667,10.93333333,12.07083333,11874.5
Huntsville,AL,Alabama,13.575,14.96166667,16.43333333,9003.583333
Independence,MO,Missouri,13.79333333,15.01,16.22666667,11682.36667
Indianapolis,IN,Indiana,14.26481481,15.64259259,17.07777778,11395.06944
Indio,CA,California,13.03181818,14.36818182,15.71363636,10366.77273
Inglewood,CA,California,12.8030303,14.10909091,15.45757576,9970.242424
Iowa City,IA,Iowa,10.78421053,12.49473684,14.18421053,10715.05263
Irvine,CA,California,8.721621622,9.689189189,10.73243243,17218.16216
Irving,TX,Texas,12.42407407,13.56851852,14.75185185,12016.05556
Jackson,MS,Mississippi,15.02181818,16.83272727,18.68363636,9464.381818
Jacksonville,FL,Florida,13.74076087,14.99891304,16.27880435,14542.20109
Jersey City,NJ,New Jersey,12.04117647,13.13088235,14.30441176,10923.39706
Johns Creek,GA,Georgia,7.95625,8.7875,9.75,14386.5
Joliet,IL,Illinois,13.01489362,14.12978723,15.2893617,9410.553191
Jonesboro,AR,Arkansas,14.425,15.83125,17.3,12611.4375
Kalamazoo,MI,Michigan,15.66521739,17.28695652,18.96956522,9686.130435
Kansas City,KS,Kansas,13.7646789,15.02155963,16.34082569,8332.357798
Kenner,LA,Louisiana,14.185,15.305,16.5,10005.3
Kennewick,WA,Washington,14.31875,15.55625,16.7875,13859.4375
Kenosha,WI,Wisconsin,12.25517241,13.41034483,14.62068966,10263.24138
Kent,WA,Washington,13.516,14.536,15.6,11089.32
Killeen,TX,Texas,14.2137931,15.2,16.24482759,13231.62069
Knoxville,TN,Tennessee,14.06428571,15.71714286,17.48285714,7662.514286
Lafayette,IN,Indiana,14.80877193,16.3877193,18.01052632,9882.175439
Lake Charles,LA,Louisiana,15.29583333,16.77916667,18.27916667,8999.125
Lake Forest,CA,California,9.761111111,10.72222222,11.77222222,12877.33333
Lakeland,FL,Florida,14.1195122,15.47317073,16.83170732,7128.02439
Lakewood,CA,California,10.24769231,11.28307692,12.36923077,10293.26154
Lancaster,CA,California,13.99722222,15.01944444,16.08055556,13052.75
Lansing,MI,Michigan,15.00714286,16.33333333,17.72380952,8161.97619
Laredo,TX,Texas,14.4559322,16.30508475,18.15932203,12004.50847
Largo,FL,Florida,12.95135135,14.20540541,15.47027027,6295.243243
Las Cruces,NM,New Mexico,12.99259259,14.35925926,15.78518519,10845.81481
Las Vegas,NV,Nevada,12.87419355,14.00193548,15.16064516,11298.20645
Lauderhill,FL,Florida,15.03529412,16.48823529,17.92941176,11803.58824
Lawrence,KS,Kansas,13.2525,14.78,16.3125,12301.5
Lawton,OK,Oklahoma,15.71666667,17.00666667,18.20666667,9686.7
Layton,UT,Utah,10.96,12.2,13.46,10096.1
League City,TX,Texas,10.67142857,11.75,12.87857143,17903.85714
Lee's Summit,MO,Missouri,10.6,11.86956522,13.16521739,11916.47826
Lewisville,TX,Texas,11.24117647,12.42352941,13.68529412,8407.941176
Lexington,KY,Kentucky,13.19404762,14.76666667,16.4,10564.39286
Lincoln,NE,Nebraska,9.973972603,11.24520548,12.60273973,10618.28767
Little Rock,AR,Arkansas,12.68113208,13.85283019,15.09245283,10954.01887
Livermore,CA,California,9.80952381,10.87619048,12.0047619,11566.85714
Livonia,MI,Michigan,10.66363636,11.96363636,13.30909091,8812.909091
Long Beach,CA,California,12.2036036,13.30540541,14.44324324,12493.42342
Longmont,CO,Colorado,10.42,11.52,12.68,12938.25
Longview,TX,Texas,14.08695652,15.18695652,16.3173913,10494.04348
Los Angeles,CA,California,12.00361446,13.26666667,14.55803213,11423.41165
Louisville,KY,Kentucky,13.53241758,14.86428571,16.25274725,9845.967033
Loveland,CO,Colorado,10.26111111,11.43333333,12.63333333,11143.16667
Lowell,MA,Massachusetts,14.22962963,15.52222222,16.84074074,11835.44444
Lubbock,TX,Texas,13.23709677,14.75322581,16.36451613,11108.37097
Lynchburg,VA,Virginia,13.69047619,15,16.35238095,10795.42857
Lynn,MA,Massachusetts,13.83333333,14.87083333,15.90833333,11291.125
