city,state_id,state_name,Low_Confidence_Limit,Data_Value,health_bad,High_Confidence_Limit,PopulationCount,density,state_name,ALand,AWater,Median,Stdev
Abilene,TX,Texas,13.74102564,15.05384615,1,16.34615385,9004.692308,446,Texas,5132188.384615385,15953.923076923076,79425.53846153847,38462.769230769234
Akron,OH,Ohio,15.93382353,17.22794118,1,18.56470588,8784.176471,1231,Ohio,5736326.685714286,193270.11428571428,50195.68571428571,38406.74285714285
Alameda,CA,California,9.211111111,10.08333333,0,11.03333333,12302.0,2868,California,1308178.875,424237.5,72782.25,71335.125
Albany,GA,Georgia,14.45636364,15.96181818,1,17.50909091,9561.272727,505,Georgia,49399136.07692308,718454.2307692308,54255.46153846154,40806.61538461538
Albuquerque,NM,New Mexico,12.92086331,14.15323741,1,15.42517986,11780.61151,1155,New Mexico,32521124.525423728,100125.61016949153,97945.81355932204,46159.627118644064
Alexandria,VA,Virginia,9.555,10.5525,0,11.76,10497.45,4121,Virginia,2610179.5,133594.5,149468.9375,60584.5625
Alhambra,CA,California,9.213636364,10.07727273,0,10.95909091,11330.31818,4237,California,892702.5555555555,0.0,59440.11111111111,57842.77777777778
Allen,TX,Texas,9.684615385,10.7,0,11.79230769,19441.38462,1544,Texas,10986384.8,34787.0,181360.2,57907.2
Allentown,PA,Pennsylvania,16.38571429,17.65357143,1,18.96785714,12646.28571,2672,Pennsylvania,2536574.1428571427,68691.0,40375.642857142855,42076.92857142857
Amarillo,TX,Texas,13.40350877,14.60175439,1,15.81578947,10036.57895,756,Texas,96483447.52,1395202.4,92547.04,41992.48
Anaheim,CA,California,11.78051948,12.92987013,0,14.0961039,13100.76623,2688,California,5172194.095238095,138261.42857142858,124430.61904761905,47667.47619047619
Anchorage,AK,Alaska,10.54035088,11.52982456,0,12.5754386,15359.26316,65,Alaska,23912688.48,11346830.4,156128.44,55792.68
Ann Arbor,MI,Michigan,10.82857143,12.31142857,0,13.84857143,9765.4,1659,Michigan,6344993.4375,133702.0,174064.75,68927.1875
Antioch,CA,California,13.11363636,14.01363636,1,14.91363636,13959.81818,1466,California,3260901.1666666665,222862.33333333334,87696.0,46514.166666666664
Apple Valley,CA,California,13.42142857,14.37857143,1,15.35714286,14812.35714,378,California,13011381.2,93601.2,148026.0,43856.6
Appleton,WI,Wisconsin,10.88076923,12.12307692,0,13.44230769,8378.692308,1156,Wisconsin,11476426.909090908,79527.27272727272,62299.72727272727,48297.36363636364
Arlington,TX,Texas,12.66,13.81066667,0,14.99733333,14617.52,1607,Texas,3342525.9166666665,111154.08333333333,88018.33333333333,47547.916666666664
Arlington Heights,IL,Illinois,8.704166667,9.775,0,10.98333333,9386.583333,1738,Illinois,2618964.0,0.0,145228.5,70290.5
Arvada,CO,Colorado,9.925714286,11.12285714,0,12.36571429,9121.885714,1207,Colorado,10478312.0,217043.41666666666,80163.0,50670.0
Asheville,NC,North Carolina,11.31935484,12.64193548,0,14.02903226,8067.903226,786,North Carolina,9376233.5,93576.5,95030.6,47883.0
Athens,GA,Georgia,13.78125,15.53125,1,17.365625,10823.625,421,Georgia,11609039.0,195445.7,45459.2,48003.6
Atlanta,GA,Georgia,11.67424242,13.09318182,0,14.65530303,9545.424242,1441,Georgia,3884163.4838709678,45806.903225806454,74091.5,55154.62903225807
Auburn,WA,Washington,13.4047619,14.59047619,1,15.79047619,10025.2381,1063,Washington,7590425.0,112615.9,110401.5,46826.1
Augusta,GA,Georgia,14.18367347,15.46122449,1,16.76734694,11990.44898,252,Georgia,4075919.7333333334,38983.6,66870.86666666667,36886.333333333336
Aurora,CO,Colorado,11.73435115,12.87175573,0,14.08320611,11976.12214,949,Colorado,7110624.96875,5474.25,90935.5625,44859.4375
Austin,TX,Texas,10.944,12.168,0,13.513,11855.49,1181,Texas,7834425.1625,161090.4625,100559.7875,55121.3125
Avondale,AZ,Arizona,13.09130435,14.15652174,1,15.25217391,9943.086957,750,Arizona,2487270.5,20106.25,54213.0,38149.75
Bakersfield,CA,California,13.71481481,14.90617284,1,16.12839506,12868.67901,990,California,19194823.55263158,132052.81578947368,89388.44736842105,42421.07894736842
Baldwin Park,CA,California,11.785,13.11,0,14.465,11308.5,4381,California,1275971.3333333333,31815.166666666668,135612.5,41905.5
Baltimore,MD,Maryland,14.70746269,16.28159204,1,17.94079602,9267.965174,2830,Maryland,2264184.170212766,314055.90070921986,63328.29787234042,46122.0780141844
Baton Rouge,LA,Louisiana,15.57121212,17.33787879,1,19.13939394,10430.42424,983,Louisiana,13313191.742857143,412284.3714285714,69642.31428571428,42751.25714285715
Baytown,TX,Texas,13.435,14.475,1,15.54,10769.1,807,Texas,18520395.888888888,1001020.0,79781.11111111111,52340.88888888889
Beaumont,TX,Texas,13.74722222,14.89444444,1,16.08333333,9858.0,547,Texas,4567499.857142857,101469.71428571429,80790.5,29304.35714285714
Beaverton,OR,Oregon,11.24814815,12.49259259,0,13.86666667,9975.592593,1952,Oregon,2971585.6428571427,0.0,130753.64285714286,50075.21428571428
Bellevue,WA,Washington,8.623333333,9.506666667,0,10.52,12235.7,1709,Washington,3274710.285714286,375479.5,135474.64285714287,71368.07142857143
Bellflower,CA,California,12.375,13.26,0,14.18,11492.4,4822,California,1322714.5555555555,7107.777777777777,85877.88888888889,49910.77777777778
Bellingham,WA,Washington,12.35789474,13.96842105,1,15.57894737,12771.31579,1287,Washington,30603710.545454547,8117756.454545454,78474.90909090909,51148.09090909091
Bend,OR,Oregon,11.75714286,13.00714286,0,14.33571429,16422.64286,1171,Oregon,29337350.285714287,150606.14285714287,87141.42857142857,47044.71428571428
Berkeley,CA,California,9.514285714,10.54285714,0,11.68,9649.714286,4473,California,808759.4,514.4,90893.4,72681.8
Bethlehem,PA,Pennsylvania,13.685,15.045,1,16.44,11247.3,1531,Pennsylvania,3534084.0,59887.583333333336,138517.66666666666,47680.666666666664
Billings,MT,Montana,11.22758621,12.47241379,0,13.76206897,10776.10345,948,Montana,40709962.5,466583.8333333333,89123.41666666667,38548.416666666664
Birmingham,AL,Alabama,14.92826087,16.43804348,1,18.04891304,6918.673913,553,Alabama,6907365.444444444,106941.80555555556,46903.27777777778,36507.833333333336
Bloomington,IL,Illinois,11.48732394,12.92112676,0,14.38450704,10136.49296,1100,Illinois,3813719.8571428573,0.0,76279.71428571429,39242.71428571428
Boca Raton,FL,Florida,9.810344828,10.8862069,0,12.0862069,8730.206897,1320,Florida,6549162.2272727275,299759.2272727273,96880.68181818182,63247.13636363636
Boise,ID,Idaho,10.54042553,11.81276596,0,13.16808511,13127.93617,1056,Idaho,3995980.9444444445,38980.61111111111,90399.27777777778,47396.833333333336
Bolingbrook,IL,Illinois,10.9,11.83684211,0,12.82631579,11584.10526,1169,Illinois,4032757.4,2344.2,100323.8,39905.8
Boston,MA,Massachusetts,12.912,14.38628571,1,16.052,10587.09714,5532,Massachusetts,430977.0,16523.70588235294,59771.882352941175,67582.4705882353
Boulder,CO,Colorado,9.426666667,10.95666667,0,12.53,9738.5,1551,Colorado,10208329.272727273,757531.2727272727,114068.45454545454,65201.27272727273
Boynton Beach,FL,Florida,12.00769231,13.13076923,0,14.29615385,7871.192308,1880,Florida,3326097.3076923075,56693.769230769234,101273.0,52077.61538461538
Bridgeport,CT,Connecticut,13.375,14.435,1,15.515,10817.175,3470,Connecticut,1090716.3076923077,20417.0,65465.0,44574.230769230766
Brockton,MA,Massachusetts,15.04782609,16.05217391,1,17.06956522,12236.08696,1732,Massachusetts,3268155.090909091,16050.09090909091,160378.27272727274,45799.63636363636
Broken Arrow,OK,Oklahoma,12.47692308,13.80512821,0,15.15384615,7602.205128,688,Oklahoma,14413396.363636363,531133.6363636364,59414.63636363636,49608.0
Brooklyn Park,MN,Minnesota,10.11333333,10.88666667,0,11.68666667,15156.2,1190,Minnesota,14329629.285714285,267342.85714285716,129469.71428571429,50128.142857142855
Brownsville,TX,Texas,14.152,15.938,1,17.676,10500.94,533,Texas,5430828.769230769,434581.3076923077,28978.384615384617,36374.0
Bryan,TX,Texas,13.87222222,15.13333333,1,16.45,12700.16667,726,Texas,4858980.285714285,0.0,70012.28571428571,37183.57142857143
Buena Park,CA,California,11.13,12.025,0,12.935,12079.5,3002,California,2510450.0,4763.6,108935.8,45967.2
Buffalo,NY,New York,15.40123457,16.81481481,1,18.26666667,9678.148148,2441,New York,1225500.3488372094,6983.6511627906975,67380.67441860466,36248.023255813954
Burbank,CA,California,10.3,11.252,0,12.24,12400.8,2285,California,1539484.1,0.0,105849.9,52474.8
Burlington,VT,Vermont,12.4,14.53846154,1,16.77692308,9788.538462,1604,Vermont,2385362.5,104943.5,39998.25,52175.75
Cambridge,MA,Massachusetts,9.623529412,10.68529412,0,11.99411765,9279.0,7182,Massachusetts,770000.9166666666,128814.08333333333,74773.66666666667,65613.75
Camden,NJ,New Jersey,18.57619048,19.97619048,1,21.4047619,11049.14286,3184,New Jersey,1128119.4444444445,130593.22222222222,55402.88888888889,37239.333333333336
Canton,OH,Ohio,16.11785714,17.29642857,1,18.48928571,7820.392857,1040,Ohio,8525338.625,106075.625,75983.1875,43539.625
Cape Coral,FL,Florida,12.70322581,13.80967742,0,14.95483871,14931.74194,708,Florida,9977961.923076924,2499490.076923077,85313.23076923077,45495.07692307692
Carlsbad,CA,California,8.463636364,9.495454545,0,10.72727273,14362.81818,1180,California,4710510.0,371028.14285714284,123259.57142857143,71533.42857142857
Carmel,IN,Indiana,8.941176471,10.03529412,0,11.31176471,13974.88235,795,Indiana,7364557.2,154436.6,178121.2,63247.8
Carrollton,TX,Texas,11.17142857,12.32,0,13.52,10208.14286,1466,Texas,11174263.545454545,244853.54545454544,128510.81818181818,52651.09090909091
Carson,CA,California,10.5,11.4047619,0,12.38571429,13100.0,1883,California,2452163.1428571427,7799.571428571428,54105.0,48750.857142857145
Cary,NC,North Carolina,8.573170732,9.604878049,0,10.83170732,9895.02439,1119,North Carolina,14321178.785714285,276307.85714285716,149078.92857142858,62392.42857142857
Cedar Rapids,IA,Iowa,10.62368421,11.84473684,0,13.08947368,9972.894737,720,Iowa,34603140.94444445,713007.8333333334,92919.72222222222,51530.944444444445
Centennial,CO,Colorado,8.632432432,9.764864865,0,11.02702703,8138.108108,1448,Colorado,2467002.3333333335,2570.5555555555557,161514.77777777778,61548.22222222222
Champaign,IL,Illinois,12.16818182,13.94545455,1,15.58181818,11050.86364,1503,Illinois,26201679.09090909,18331.636363636364,92168.27272727272,46751.818181818184
Chandler,AZ,Arizona,10.15081967,11.30491803,0,12.54918033,11611.72131,1548,Arizona,3060747.095238095,3946.6190476190477,118475.0,55031.619047619046
Charleston,WV,West Virginia,12.90285714,14.44571429,1,16.12285714,7348.571429,570,West Virginia,16594062.727272727,103776.63636363637,74973.81818181818,55698.90909090909
Charlotte,NC,North Carolina,11.862,13.1215,0,14.4785,10971.265,1113,North Carolina,4499157.815384615,36629.83076923077,92478.2,47989.984615384616
Chattanooga,TN,Tennessee,14.36346154,15.76346154,1,17.20769231,9672.0,493,Tennessee,12441185.476190476,472727.38095238095,77834.90476190476,42546.09523809524
Chesapeake,VA,Virginia,11.8744186,13.02325581,0,14.2372093,15502.95349,279,Virginia,19724262.4375,223902.3125,124815.625,51640.375
Cheyenne,WY,Wyoming,10.61111111,11.7,0,12.79444444,9911.0,771,Wyoming,8597619.5,7657.5,120491.375,41848.125
Chicago,IL,Illinois,11.97562814,13.35615578,0,14.85766332,10159.25628,4574,Illinois,2752540.345637584,97225.21140939597,65355.20469798658,49482.95302013423
Chico,CA,California,13.224,15.036,1,16.856,10342.4,1191,California,36165258.6,750214.8,107537.7,61403.0
Chino,CA,California,11.32,12.37,0,13.42,11697.45,1229,California,15101385.833333334,2779.0,138879.5,54042.583333333336
Chino Hills,CA,California,8.935714286,9.7,0,10.48571429,16028.35714,724,California,5789014.0,81690.0,46521.0,46834.0
Chula Vista,CA,California,11.15714286,12.18367347,0,13.25306122,14933.63265,2134,California,3385516.3529411764,317862.5294117647,69186.70588235294,48165.17647058824
Cicero,IL,Illinois,13.73333333,15.18333333,1,16.67222222,13981.83333,5318,Illinois,1118573.857142857,0.0,151544.0,35055.0
Cincinnati,OH,Ohio,15.01196581,16.62393162,1,18.32393162,7612.769231,1507,Ohio,4035043.094117647,25606.423529411764,71330.90588235293,48834.16470588235
Citrus Heights,CA,California,12.844,13.956,1,15.108,9996.12,2381,California,1889135.125,0.0,79440.375,42657.5
Clarksville,TN,Tennessee,14.51388889,15.86666667,1,17.25277778,11076.61111,618,Tennessee,17231996.0,287792.5,91596.75,37743.583333333336
Clearwater,FL,Florida,12.72368421,13.98947368,1,15.27105263,8501.447368,1731,Florida,31669249.45,1602284.45,47896.05,48850.1
Cleveland,OH,Ohio,17.14350282,18.70734463,1,20.32316384,6725.672316,1893,Ohio,1148183.0,83678.20588235294,35241.544117647056,33212.367647058825
Clifton,NJ,New Jersey,11.58888889,12.56111111,0,13.54444444,14022.66667,2913,New Jersey,1806753.625,12700.125,159497.5,55017.125
Clovis,CA,California,11.404,12.372,0,13.38,11475.64,1741,California,12989803.444444444,83354.0,112036.88888888889,44782.11111111111
College Station,TX,Texas,12.56428571,14.96785714,1,17.45357143,10056.10714,890,Texas,3071702.1666666665,6348.666666666667,38683.583333333336,38491.166666666664
Colorado Springs,CO,Colorado,11.61238095,12.83809524,0,14.12666667,11897.52381,946,Colorado,6269099.386363637,11642.545454545454,97020.36363636363,47401.90909090909
Columbia,SC,South Carolina,13.47888889,15.35111111,1,17.27444444,7924.911111,373,South Carolina,5625222.151515151,107417.87878787878,98181.0,47084.84848484849
Columbus,OH,Ohio,14.32299652,15.74285714,1,17.22508711,10211.33449,1582,Ohio,10430580.666666666,326627.82666666666,57126.933333333334,36656.13333333333
Compton,CA,California,14.67419355,16.06451613,1,17.41935484,9334.354839,3680,California,2830917.9285714286,25890.071428571428,43186.0,40792.5
Concord,CA,California,11.68909091,12.82909091,0,14.00545455,10970.45455,1633,California,2505063.3076923075,0.0,162947.92307692306,55910.38461538462
Coral Springs,FL,Florida,11.85,12.92142857,0,14.06785714,12974.57143,2258,Florida,3485520.3636363638,71496.18181818182,127806.90909090909,56930.72727272727
Corona,CA,California,12.23783784,13.35405405,0,14.47027027,12354.64865,1640,California,22924226.64285714,71484.42857142857,107735.14285714286,53197.21428571428
Corpus Christi,TX,Texas,12.47894737,13.56052632,0,14.65263158,12047.81579,789,Texas,5641641.214285715,209574.0,85253.25,49112.892857142855
Costa Mesa,CA,California,11.22592593,12.44814815,0,13.71851852,12217.7037,2762,California,3206747.0,310827.06666666665,172005.0,68751.26666666666
Cranston,RI,Rhode Island,12.32105263,13.55263158,0,14.86315789,12692.68421,1109,Rhode Island,2282657.0,289817.8888888889,107184.11111111111,44987.22222222222
Dallas,TX,Texas,12.99248366,14.29869281,1,15.67091503,11742.66993,1526,Texas,3018938.4916666667,109512.63333333333,89818.65833333334,48019.63333333333
Daly City,CA,California,8.663636364,9.45,0,10.27272727,13789.5,5370,California,4158262.4285714286,0.0,152009.2857142857,62772.57142857143
Danbury,CT,Connecticut,10.95882353,12.0,0,13.04705882,14275.23529,779,Connecticut,5320388.857142857,343033.0,138090.2857142857,53398.42857142857
Davenport,IA,Iowa,12.03333333,13.15454545,0,14.32424242,9061.212121,617,Iowa,21352106.46153846,751094.6153846154,75356.53846153847,45562.307692307695
Davie,FL,Florida,11.56086957,12.64347826,0,13.75652174,11996.82609,1175,Florida,6265273.0,83048.33333333333,91404.66666666667,64345.333333333336
Dayton,OH,Ohio,16.28474576,17.95762712,1,19.58644068,7193.440678,978,Ohio,3720565.222222222,27948.833333333332,49566.083333333336,39635.0
Dearborn,MI,Michigan,15.20769231,16.95,1,18.73846154,11325.34615,1496,Michigan,2645655.0,31768.30769230769,32456.46153846154,30557.76923076923
Decatur,IL,Illinois,13.68064516,14.91612903,1,16.17741935,7366.645161,645,Illinois,12592921.166666666,293045.6666666667,47799.333333333336,37865.666666666664
Deerfield Beach,FL,Florida,13.01578947,14.13684211,1,15.28947368,11844.94737,2093,Florida,2636777.5,67131.5,45317.25,44768.0
Deltona,FL,Florida,14.23157895,15.2,1,16.16315789,13448.21053,960,Florida,6963164.0,644319.0,42101.666666666664,35307.666666666664
Denton,TX,Texas,12.75862069,14.33793103,1,16.0137931,11728.48276,567,Texas,6586006.8,51075.4,75195.4,48163.6
Denver,CO,Colorado,10.59172414,11.75448276,0,13.03310345,12417.06207,1831,Colorado,2258821.1739130435,55933.86956521739,80527.49275362318,51004.637681159424
Des Moines,IA,Iowa,12.095,13.275,0,14.49333333,10171.41667,938,Iowa,13425833.423076924,276719.6923076923,74831.0,40830.5
Detroit,MI,Michigan,17.33639456,18.99217687,1,20.71564626,7283.234694,1864,Michigan,4519124.454545454,108807.22727272728,26177.263636363637,33507.972727272725
Downey,CA,California,11.02173913,12.10869565,0,13.24782609,14577.6087,3457,California,43058755.25,624432.5,124512.5,50329.375
Duluth,MN,Minnesota,10.92162162,12.38108108,0,13.87027027,6993.891892,461,Minnesota,63854714.666666664,7129135.083333333,50648.416666666664,51104.25
Durham,NC,North Carolina,12.025,13.29666667,0,14.65,11415.91667,959,North Carolina,6379625.65,56871.55,69280.9,41429.25
Edinburg,TX,Texas,13.34,14.95333333,1,16.6,15420.0,873,Texas,19129208.75,0.0,33979.25,34303.5
Edmond,OK,Oklahoma,11.8125,13.15416667,0,14.6125,10175.625,428,Oklahoma,20917378.0,812098.5,172842.33333333334,65652.0
El Cajon,CA,California,13.58333333,14.67666667,1,15.81333333,9947.8,2732,California,6803614.0,119100.33333333333,101859.91666666667,56324.833333333336
El Monte,CA,California,12.565625,13.853125,0,15.140625,10637.0,4663,California,1479703.9090909092,44522.454545454544,66734.09090909091,48743.72727272727
El Paso,TX,Texas,12.30601504,13.69022556,0,15.11052632,14641.6391,1022,Texas,9088440.953125,22561.90625,75852.015625,39766.859375
Elgin,IL,Illinois,11.70740741,12.81111111,0,13.95555556,12018.85185,1141,Illinois,4767416.8,44141.8,110239.3,52134.8
Elizabeth,NJ,New Jersey,15.32857143,16.47142857,1,17.59285714,13389.53571,4049,New Jersey,956827.9090909091,23701.454545454544,71749.18181818182,44248.545454545456
Elk Grove,CA,California,10.7,11.59333333,0,12.51666667,15301.5,1605,California,2496216.1,0.0,122880.1,59017.4
Erie,PA,Pennsylvania,17.103125,18.575,1,20.0375,9542.4375,1926,Pennsylvania,13743601.15,271956.9,75668.05,39281.55
Escondido,CA,California,12.24857143,13.41714286,0,14.58857143,12334.74286,1568,California,10553037.714285715,118628.64285714286,97756.5,48883.57142857143
Eugene,OR,Oregon,13.54444444,15.17555556,1,16.88,10412.15556,1510,Oregon,11014514.588235294,19143.647058823528,102514.76470588235,44140.470588235294
Evanston,IL,Illinois,9.1,10.135,0,11.305,11172.9,3646,Illinois,1003558.125,98074.0,75019.5,62582.125
Evansville,IN,Indiana,16.25813953,17.8255814,1,19.41627907,8192.232558,962,Indiana,13405092.285714285,191637.85714285713,78885.0,36364.71428571428
Everett,WA,Washington,12.89285714,14.1,1,15.30357143,11036.92857,1296,Washington,3009287.090909091,423855.9090909091,105747.27272727272,47485.818181818184
Fairfield,CA,California,12.35714286,13.25,0,14.15714286,11283.82143,1097,California,8307655.333333333,61744.88888888889,118154.55555555556,50086.11111111111
Fall River,MA,Massachusetts,16.02592593,17.51481481,1,19.01481481,9873.0,1044,Massachusetts,2408682.8181818184,679220.9090909091,41325.09090909091,39779.181818181816
Fargo,ND,North Dakota,10.01851852,11.47777778,0,12.99259259,11727.66667,967,North Dakota,2829275.875,0.0,109873.5,40517.0
Farmington Hills,MI,Michigan,9.533333333,10.51666667,0,11.6,9967.375,935,Michigan,3269256.375,0.0,106650.625,55271.5
Fayetteville,AR,Arkansas,13.67681159,15.04492754,1,16.37971014,11918.37681,625,Arkansas,9034617.0,118158.6,34660.2,40774.4
Federal Way,WA,Washington,12.99047619,13.95238095,1,14.94285714,12757.90476,1667,Washington,7708878.636363637,200862.72727272726,99228.45454545454,46715.36363636364
Fishers,IN,Indiana,9.472727273,10.60909091,0,11.91818182,20943.81818,1037,Indiana,8503592.333333334,293060.6666666667,228973.66666666666,63317.0
Flint,MI,Michigan,18.6804878,20.13902439,1,21.67560976,7494.219512,1103,Michigan,4375134.125,54764.0,61869.875,27934.125
Folsom,CA,California,9.433333333,10.45555556,0,11.59444444,12031.61111,1126,California,3241219.0,199239.83333333334,147762.16666666666,59004.166666666664
Fontana,CA,California,13.26216216,14.47837838,1,15.70810811,15897.48649,1923,California,2937691.0,0.0,85852.46153846153,36861.61538461538
Fort Collins,CO,Colorado,10.61666667,12.2375,0,13.89583333,8998.208333,1149,Colorado,11602165.0,989609.0,89265.8,51797.73333333333
Fort Lauderdale,FL,Florida,12.72307692,13.95961538,1,15.24807692,9548.769231,2036,Florida,1678678.2352941176,179057.0,61552.0,48321.41176470588
Fort Smith,AR,Arkansas,15.73913043,17.00434783,1,18.30869565,11244.65217,536,Arkansas,7208942.3,673670.1,34863.1,36609.2
Fort Wayne,IN,Indiana,14.87125,16.27125,1,17.7325,9512.8625,943,Indiana,6565283.129032258,12310.516129032258,78880.35483870968,43114.645161290326
Fort Worth,TX,Texas,13.53703704,14.74320988,1,15.9691358,13725.34568,1016,Texas,6269834.972222222,242362.55555555556,92542.77777777778,43187.916666666664
Fremont,CA,California,7.66,8.391111111,0,9.213333333,14272.6,1201,California,6844109.235294118,737798.5882352941,134866.82352941178,68391.11764705883
Fresno,CA,California,14.12936508,15.31904762,1,16.52539683,11777.37302,1789,California,6606283.893617021,5312.04255319149,65852.14893617021,44210.063829787236
Frisco,TX,Texas,8.834285714,9.96,0,11.25428571,10027.45714,1136,Texas,5705436.2,59543.2,257203.4,60699.7
Fullerton,CA,California,10.48,11.56285714,0,12.72,11585.22857,2386,California,2201596.4545454546,653.0909090909091,174472.45454545456,50743.454545454544
Gainesville,FL,Florida,14.14102564,15.96666667,1,17.87948718,9565.410256,820,Florida,28192987.14285714,622367.7142857143,36414.21428571428,36737.642857142855
Garden Grove,CA,California,11.44090909,12.45227273,0,13.48409091,11650.84091,3690,California,1605532.8666666667,7752.533333333334,87657.2,50954.46666666667
Garland,TX,Texas,13.14,14.272,1,15.43,13611.44,1623,Texas,3209780.3,616508.25,71518.4,40741.0
Gary,IN,Indiana,16.9,18.4,1,19.97575758,7299.454545,581,Indiana,4126404.25,207717.58333333334,32052.166666666668,37242.833333333336
Gastonia,NC,North Carolina,14.22258065,15.50322581,1,16.79032258,6940.935484,577,North Carolina,12444044.909090908,55696.454545454544,86124.18181818182,40740.545454545456
Gilbert,AZ,Arizona,10.22340426,11.42978723,0,12.70212766,13305.42553,1432,Arizona,17833917.64285714,42039.642857142855,145477.14285714287,59110.642857142855
